Row Labels,Sum of Year,Sum of Registrations
AB,24210,60295
ACD,24210,17970
AD,24210,6708
AG,24210,33961
AH,24210,6301
AL,16127,8
AN,24210,11612
AP,24210,9818
BB,24210,10136
BC,24210,14055
BD,24210,9797
BE,24210,18205
BF,24210,25353
BKONE,24210,1479
BKTWO,20165,389
BL,24210,34766
BR,24210,23356
BRW,24210,25189
BUR,24210,10109
CC,24210,10206
CE,24210,20914
CED,24210,45077
CH,24210,26715
CL,24210,122760
CS,24210,12526
DA,24210,13498
DM,24210,22518
DO,24210,21232
DP,24210,21628
DR,24210,13936
DS,24210,353
DT,24210,3622
DU,24210,11441
EA,24210,31116
EB,24210,4821
EG,24210,6241
EN,24210,25279
ES,24210,19286
FH,24210,10781
FO,20185,39228
FP,24210,13026
FV,24210,60314
GE,24210,7032
GHP,24210,9561
GW,24210,4560
HB,24210,7474
HC,24210,9698
HIL,24210,10504
HLS,24210,1767
HP,24210,14522
HS,24210,6148
HW,24210,6269
JD,24210,17387
JO,24210,8295
JS,24210,14381
KE,24210,17483
LB,24210,8600
LD,10082,6
LE,24210,14575
LO,24210,19207
LS,24210,37017
MA,24210,11159
MAL,24210,30674
MAS,24210,19055
MCG,24210,15788
MD,24210,8753
ME,4027,2
MI,24210,10717
MP,24210,5825
MRV,24210,15213
MS,24210,14703
ND,24210,37171
NE,24210,4870
NT,24210,7034
OS,6061,73
OV,24210,7359
PA,24210,19061
PE,24210,4007
PK,24210,25147
PL,24210,19002
PM,24210,10147
PU,24210,9692
PV,24210,7797
QS,24210,5938
RD,24210,11809
RI,24210,34369
RN,24210,21615
RX,24210,4934
SA,24210,16132
SB,24210,1224
SC,18171,21518
SI,24210,3712
SJ,24210,19718
SL,24210,19341
SP,24210,8614
ST,24210,11535
SW,24210,1197
SWS,24210,16144
TA,24210,4836
TH,24210,18133
TOD,24210,2087
TRL,24210,130104
VIR,8086,105075
VV,24210,5489
WE,24210,12567
WP,24210,6021
WS,24210,22738
WY,24210,10308
YO,24210,12137
YW,24210,26834
Grand Total,2572324,1927889
